Receive time, Header,Millis,PCFTime, BMETemp(C),BMEPress(hPa),BMEHum(%),BMEGas(KOhms),BMEAlt(m),INACurr(mA),INAVolt(mV),INAPow(mW),LSM9DS1 AccX, LSM9DS1 AccY, LSM9DS1 AccZ, LSM9DS1 GyroX, LSM9DS1 GyroY, LSM9DS1 GyroZ, LSM9DS1 MagX, LSM9DS1 MagY, LSM9DS1 MagZ,PicoTemp(C),ICM AccX,ICM AccY,ICM AccZ,ICM GyroX,ICM GyroY,ICM GyroZ,ICM MagX,ICM MagY,ICM MagZ,ICM TempC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:49, 3f82,34145.2,0.91,23f82,345243f82,3453504,29.28,3-2.28,2.013f82,34546-,-0.09,0.3f82,3455716,38.37,23f82,345670,0,3f82,34568.26,47.98,3f82,34578,0,0.003f82,34589,0,0.009,19.48,-23f82,3460223,-4.72,0,0,163f82,34735,0,03f82,34890,0,03f82,34891.88,53.61,3f82,34901,0,0.003f82,34902.7,36.99,3f82,34913.84,-1.97,3f82,3503692,42.01,-,0,0.003f82,35047.46,45.79,3f82,35058.55,46.43,0,0,03f82,3506955,50.82,--,-0.65,2.3f82,35181.19,0.17,2,62.91,11.3.77,0,1.58,4.16,3f82,352243f82,353243f82,35326.31,0,03f82,353372.42,46.363f82,3534602,0,0.3f82,35348.38,-21.153f82,3535799,-,,-5.54,-133f82,357760.49,29.483f82,358011.57,25.563f82,3581008,0,0.3f82,358132.17,-23.13f82,3582392,0,0.3f82,35826.42,-3.76,3f82,358353f82,358383.94,18.943f82,358513,40.19,7.3f82,358602,0,0.03f82,35863.7,26.98,1,9.95,0.03f82,358730.45,0,3f82,358760.56,-0.313f82,358861,0,0.03f82,358883f82,358980,0,3f82,359233f82,359980,0,3f82,360013,39.14,-03f82,36524,0,0.003f82,365903f82,366020,102400003f82,367373f82,3674037,66.3,13f82,367500,0,3f82,36753.16,65.23,3f82,367628,0,0.03f82,3676579,2000/1/0 5:1:18,-31.43,35.72,0,102400000,20879.1,220,3890,860,-0.42,2.66,18.27,-0.62,1.14,-1.12,-12.03,45.78,-46.49,-36.53,-0.32,-1.43,18.54,-0.67,-1.2,-1.01,0,0,0,166.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:53, 3f82,3735155,-,-,-,-,-,-,-,-,-,-0.88,1.59,14.17,0.77,0.69,-1.99,3.14,4.87,-55.58,-,-0.68,-0.57,14.54,0.76,-0.79,-1.93,0,0,0,166.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:55, 3f82,3735447,2000/1/0 5:2:16,-31,32.81,0,102400000,21255.61,231.25,3888.75,900,-2.93,2.12,9.07,0.23,-0.66,-2.06,-2.29,23,-57.28,-36.53,-2.76,-1.68,9.35,0.18,0.56,-2.09,0,0,0,166.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:57, 3f82,3736404,-,-,-,-,-,-,-,-,-,-1.7,2.7,8.31,0.03,-0.47,-1.66,-5.88,15.14,-54.18,-,-1.58,-2.16,8.7,-0.01,0.39,-1.68,0,0,0,166.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:58, 3f82,3736699,2000/1/0 5:2:18,-30.99,32.74,0,102400000,21263.65,230,3882.5,900,0.03,1.69,9.83,0.38,-0.64,-1.9,19,-4.79,-53.2,-36.53,0.27,-1.1,10.28,0.35,0.56,-1.94,0,0,0,166.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:48:00, 3f82,3737655,-,-,-,-,-,-,-,-,-,0.53,1.54,10.18,0.23,-0.91,-2.14,22.57,-1.15,-54.95,-,0.79,-0.86,10.56,0.2,0.8,-2.2,0,0,0,166.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:49:06, 3f82,373792.98,33.373f82,373890,0,0.03f82,373921.7,-24.53f82,37401.32,0,03f82,374042.57,0,1.34,7.9,3f82,37414,0,0.003f82,37417.09,19.72,3f82,374263f82,37429,-0.63,5.93f82,374390,-0.58,0.3f82,37442.51,-2.7,3f82,37451,0,0.003f82,37454.71,5.88,53f82,37464,0,0.003f82,3746732,-4.9,33f82,374760,0,3f82,37479.3,16.18,3f82,3748962,0,0.3f82,374925,-29.36,13f82,375013,0,0.03f82,37504,102400000-0.82,-0.62.91,-57.9,-0.88,0.63f82,3751413,0,0.3f82,3751789,-9.53,23f82,37526,0,03f82,3768006,16.66,-3f82,37830.92,8.21,23f82,378403f82,379773,0,0.03f82,37980.84,55.83,0,0,0.03f82,38128,0,0.003f82,38131,840.0067.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:50:19, 3f82,38268.7,4.53,-3f82,382780,0,3f82,3828137,,17.55,51.3f82,382903f82,38641,0,03f82,38644-1.34,40.63f82,386541.03,0,3f82,386575,36.82,353f82,386660,0,3f82,38669.22,13.48,3f82,3867950,0,0.3f82,386820.71,20.243f82,38691,0,0.003f82,386941.26,-1.783f82,3870475,0,0.3f82,387071.11,5.23,3f82,3871613,0,0.3f82,387196.85,241.2,-51.17,-392,0,0.3f82,38729,0,0.003f82,38732.91,-9.03,3f82,387415,0,0.03f82,387442.16,36.523f82,3885789,16.25,43f82,3886700,0,0.3f82,388700,3880,97,-10.46,0.95,0,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:53:01, 3f82,3887983,0,0.3f82,388826,26.57,-13f82,38892,0,03f82,3889548,32.94,33f82,39007.56,6.56,-3f82,390170,0,3f82,390202000/1/0 53883.75,830,168.53f82,39029,0,0.003f82,390324,-4.65,-13f82,390420,0,3f82,39045,29.44,-8.3f82,39220.25,29.03,3f82,39230,0,0.003f82,392334,236.25,3.39,11.46,0,0,3f82,392420,0,3f82,3924547,24.92,73f82,392555,0,0.03f82,39443,0,03f82,3944677.5,900.-40.81,-353f82,39455.05,0,03f82,395841.94,-2.623f82,39593,0,0.003f82,3959629,24.8,-3f82,396069,0,0.03f82,39609,-1.32,35.3f82,39734,-17.3,133f82,39743,0,0.003f82,3974647,-6.85,13f82,397560,0,3f82,39759.34,36.32,3f82,3988186,0,0.3f82,39884.77,14.89,3f82,39894,0.16,-0.63f82,39897.07,24.76,3f82,39906,0,0.003f82,399090,30.17,153f82,400320.42,0,3f82,40034.91,7.88,33f82,4004456,10.74,0,-0.19,-1.11.05,0.103f82,40047.3,-7.48,3f82,40057,0,0.003f82,40060,1.3,39.33f82,400690,0,3f82,401721,-7.75,193f82,401828,0,0.03f82,40185,12.29,33.3f82,40194,0,0.003f82,40197,28.44,15.3f82,402070,0,3f82,40210,-10.52,123f82,402192,0,0.03f82,403234,-4.34,1.3f82,403320,0,0.03f82,40335,24.8,33.0.37,-0.203f82,403450,0,3f82,403483.84,7.12,3f82,40357,0,0.003f82,40360.93,13.59,3f82,403708,0,0.03f82,40470.68,0,03f82,40473.29,-4.84,3f82,404820,0,3f82,404853,2.41,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:57:39, 3f82,428143f82,431120,0,3f82,431159,-14.16,-3f82,4312484,0,0.3f82,4312730,31.83,23f82,431372.23,0,3f82,4314063,-5.6,23f82,4314970,0,0.3f82,431655,1.21,19..74,3.67,13f82,43177,23.03,17.3f82,431877,0,0.03f82,43262,0,03f82,432656.45,35.093f82,4327493,-,-,-,-,-,-,-,-,-,-0.17,1.34,9.91,0.04,0.22,0.73,-2.08,38.63,-56.24,-,-0.1,-0.89,10.3,0.01,-0.17,0.8,0,0,0,176.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:57:41, 3f82,4327792,2000/1/0 5:12:9,-21.82,15.66,0.36,578858,24284.08,233.75,3867.5,910,-0.76,1.77,10.36,0.12,-0.02,0.13,5.33,40.38,-56.97,-31.85,-0.77,-1.33,10.69,0.1,0.03,0.18,0,0,0,176.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
