Receive time, Header,Millis,PCFTime, BMETemp(C),BMEPress(hPa),BMEHum(%),BMEGas(KOhms),BMEAlt(m),INACurr(mA),INAVolt(mV),INAPow(mW),LSM9DS1 AccX, LSM9DS1 AccY, LSM9DS1 AccZ, LSM9DS1 GyroX, LSM9DS1 GyroY, LSM9DS1 GyroZ, LSM9DS1 MagX, LSM9DS1 MagY, LSM9DS1 MagZ,PicoTemp(C),ICM AccX,ICM AccY,ICM AccZ,ICM GyroX,ICM GyroY,ICM GyroZ,ICM MagX,ICM MagY,ICM MagZ,ICM TempC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:49, 3f82,34145.2,0.91,23f82,345243f82,3453504,29.28,3-2.28,2.013f82,34546-,-0.09,0.3f82,3455716,38.37,23f82,345670,0,3f82,34568.26,47.98,3f82,34578,0,0.003f82,34589,0,0.009,19.48,-23f82,3460223,-4.72,0,0,163f82,34735,0,03f82,34890,0,03f82,34891.88,53.61,3f82,34901,0,0.003f82,34902.7,36.99,3f82,34913.84,-1.97,3f82,3503692,42.01,-,0,0.003f82,35047.46,45.79,3f82,35058.55,46.43,0,0,03f82,3506955,50.82,--,-0.65,2.3f82,35181.19,0.17,2,62.91,11.3.77,0,1.58,4.16,3f82,352243f82,353243f82,35326.31,0,03f82,353372.42,46.363f82,3534602,0,0.3f82,35348.38,-21.153f82,3535799,-,,-5.54,-133f82,357760.49,29.483f82,358011.57,25.563f82,3581008,0,0.3f82,358132.17,-23.13f82,3582392,0,0.3f82,35826.42,-3.76,3f82,358353f82,358383.94,18.943f82,358513,40.19,7.3f82,358602,0,0.03f82,35863.7,26.98,1,9.95,0.03f82,358730.45,0,3f82,358760.56,-0.313f82,358861,0,0.03f82,358883f82,358980,0,3f82,359233f82,359980,0,3f82,360013,39.14,-03f82,36524,0,0.003f82,365903f82,366020,102400003f82,367373f82,3674037,66.3,13f82,367500,0,3f82,36753.16,65.23,3f82,367628,0,0.03f82,3676579,2000/1/0 5:1:18,-31.43,35.72,0,102400000,20879.1,220,3890,860,-0.42,2.66,18.27,-0.62,1.14,-1.12,-12.03,45.78,-46.49,-36.53,-0.32,-1.43,18.54,-0.67,-1.2,-1.01,0,0,0,166.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:49, 3f82,4514390,-23.4,3f82,451530.29,0,3f82,45156,-22.67,293f82,45165.52,0,03f82,4516842,3.22,363f82,451781,0,0.03f82,451816,-8.8,273f82,45190,0,0.003f82,45193,199338,2520,0.29,1..24,-0.22,3f82,4531826,19.13,43f82,4532835,0,0.3f82,4533132,11.59,13f82,453410,0,3f82,4534400/1/0 5:12.50,840.082,-10.68,52,-28..00,180.923f82,4546600,0,0.3f82,45469,41.03,34.3f82,4547840,0,0.3f82,45481,-7.79,40.3f82,45491,0,0.003f82,454947,218.75,359,10.25,4.35,8.49,0,0,3f82,455033f82,45616,0,0.003f82,45619-2.70,-13.3f82,45629,0,03f82,45632,19.94,-1.3f82,456410,0,3f82,45644,2.13,5.103f82,456547,0,0.03f82,4576675,-,-,-,-,-,-,-,-,-,0.15,1.35,10.16,-0.03,-0.13,1.19,-3.01,52.28,-51.1,-,0.32,-0.82,10.61,-0.05,0.2,1.24,0,0,0,182.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:50, 3f82,4576972,2000/1/0 5:16:18,-16.55,11.67,1.3,136278,25375.93,231.25,3866.25,900,-0.06,0.04,9.11,0.07,0.32,2.4,39.86,37.17,-47.34,-27.63,0.21,0.39,9.49,0.04,-0.18,2.52,0,0,0,182.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:54, 3f82,4577923,-,-,-,-,-,-,-,-,-,0.29,0.37,8.79,0.03,0.39,2.39,43.41,18.81,-45.45,-,0.73,0.07,9.2,0,-0.25,2.51,0,0,0,182.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:56, 3f82,4578224,2000/1/0 5:16:19,-16.53,11.65,1.3,140891,25379.02,248.75,3861.25,900,0.32,1.09,9.05,0.13,0.03,0.6,-2.37,-6.78,-39.77,-27.63,0.56,-0.62,9.48,0.11,0,0.65,0,0,0,182.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:57, 3f82,4579174,-,-,-,-,-,-,-,-,-,-0.05,0.75,9.35,0.26,-0.04,0.34,-6.04,-4.53,-42.06,-,-0.12,-0.29,9.79,0.24,0.07,0.39,0,0,0,182.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:59, 3f82,4579475,2000/1/0 5:16:21,-16.5,11.63,1.3,139281,25385.21,218.75,3871.25,840,-1.48,0.46,9.59,0.11,0.09,1.06,-18.59,19.29,-47.02,-27.63,-1.76,0.71,10.26,0.1,-0.02,1.12,0,0,0,182.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:01, 3f82,4580429,-,-,-,-,-,-,-,-,-,-1.01,0.26,9.76,0.06,0.14,1.17,-20.18,27.78,-47.92,-,-0.89,0.28,10.11,0.03,-0.07,1.24,0,0,0,182.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:02, 3f82,4580727,2000/1/0 5:16:22,-16.47,11.61,1.31,139509,25391.42,220,3870,860,-1.31,1.56,9.86,-0.11,0.08,0.35,-6.46,42.74,-52.28,-27.63,-1.29,-1.11,10.35,-0.14,-0.06,0.41,0,0,0,182.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:04, 3f82,4581683,-,-,-,-,-,-,-,-,-,-1.79,1.57,9.86,-0.11,-0.01,0.43,-4.56,43.36,-54.5,-,-1.72,-1.19,10.29,-0.14,0.03,0.48,0,0,0,182.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:06, 3f82,458191.13,13.914,-0.7,103f82,4582922,0,0.3f82,458320,24.74,183f82,45841,0,03f82,458441.13,14.673f82,458540,0,3f82,45857,11.84,40.3f82,45866,0,0.003f82,458693,-7.07,6.3f82,45879,0,0.003f82,45882,15.86,53.3f82,4589193,-,26.5,47.3f82,4589446,37.14,93f82,45904,0,0.003f82,45907,34.51,9.03f82,4591600,0,0.3f82,4591994,2000/1/0 5:16:33,-16.23,11.48,1.33,140312,25435.09,218.75,3868.75,840,-0.27,1.9,9.12,0.11,0.49,1.38,24.61,-2.03,-46.95,-27.17,-0.08,-1.5,9.56,0.08,-0.4,1.49,0,0,0,182.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:07, 3f82,4593246,2000/1/0 5:16:34,-16.21,11.46,1.34,138266,25435.09,238.75,3867.5,910,0.57,1.55,8.23,0.16,-0.16,-0.44,4.72,-5.51,-43.36,-27.63,0.79,-1.1,8.71,0.14,0.14,-0.42,0,0,0,182.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:18, 3f82,4594100,0,0.3f82,459446,15.84,-73f82,45954,0,0.003f82,45957,-24.06,203f82,45967.02,0,03f82,459708,-3.45,343f82,4597986,0,0.3f82,4598221,2.18,6.3f82,459924,0,0.03f82,459950,-11.91,43f82,460049,0,0.03f82,460074,20.52,403f82,460170,0,3f82,46020.56,-7.98,0.56,0,03f82,46029,0,0.003f82,46032,-17.06,303f82,4604222,0,0.3f82,460452,30.97,293f82,460549,0,0.03f82,4605765,2000/1/0 5:16:47,-15.93,11.3,1.36,127141,25491.88,216.25,3871.25,830,-1.47,1.18,10.34,-0.12,0.03,0.02,21.65,-2.56,-45.85,-27.17,-1.42,-0.68,10.82,-0.14,-0.03,0.07,0,0,0,182.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:20, 3f82,4606723,-,-,-,-,-,-,-,-,-,-1.9,1.34,10.15,-0.13,0.07,-0.02,21.31,-4.63,-44.04,-,-1.84,-0.94,10.68,-0.15,-0.07,0.03,0,0,0,182.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:24, 3f82,46070,16.11,-103f82,460795,0,0.03f82,46082-13.23,-4.3f82,460920,0,3f82,46095,-18.96,8.3f82,461048,0,0.03f82,461079,-0.99,443f82,46117,0,0.003f82,46120,840,-28.17,-1..08,1.82,83.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:22, 3f82,46129,0,0.003f82,46132,6.69,3.653f82,46142,0,03f82,46145,-12.51,133f82,461548,0,0.03f82,461577,-9.92,8.3f82,46167,0,03f82,46170.97,29.28,3f82,461790,0,0.03f82,461826,-24.88,23f82,46192.59,0,03f82,4619519.31,29.93f82,462043,0,0.03f82,46207,-22.01,243f82,462177,0,0.03f82,465713f82,465830,10.07,5.3f82,46593,0,0.003f82,465962,-12.16,33f82,466052,0,0.03f82,466086,11.33,473f82,466189,0,0.03f82,466210,24.95,303f82,466300,0,0.03f82,46633.75,10.36,0.96,-49.598,-0.31,103f82,46643.78,0,03f82,46646,2.37,-5.33f82,466555,0,0.03f82,466581,28.37,103f82,46668,0,0.003f82,46671,24.7,-0.3f82,46783-12.61,10.3f82,46793.99,0,03f82,4679619.48,42.73f82,468065,0,0.03f82,4680834,2.02,-43f82,4681897,7.67,-40,0,1843f82,46821.77,43.36,3f82,46934,10.26,1.53,10.36,-03f82,469438,0,0.03f82,469469,17.41,7.3f82,469566,0,0.03f82,46959-14.57,18.3f82,4696858,-0.23,-3f82,46971.49,43.83,3f82,469810,0,3f82,47084,-18.36,173f82,47093.47,0,03f82,47096,25.02,12.3f82,47106,0,0.003f82,47109,-18.09,313f82,4711935,0,0.3f82,471216,13.59,-03f82,471314,0,0.03f82,47231,0,0.003f82,4723419.01,46.73f82,47244.68,0,03f82,47247-4.38,42.43f82,47256,0,0.003f82,4725911.43,-0.23f82,4726981,0,0.3f82,47272-0.13,45.33f82,47281.52,0,03f82,4738131,-1.77,31.77,0,3f82,47384.61,28.78,3f82,473940,0,3f82,4739713.96,16.03f82,47406,0,03f82,474090.48,6.12,3f82,474196,0,0.03f82,47422.33,3.41,-3f82,474310,0,3f82,47435.41,36.47,12.93,32.83f82,47532.02,1.54,93f82,475358.56,14.563f82,4754400,0,0.3f82,47547-17.29,47.3f82,475572,0,0.03f82,4756015.62,32.33f82,475693f82,47572-1.81,-2.63f82,475820,0,3f82,475857,25.23,303f82,47820,0,0.003f82,47823.27,8.51,-3f82,4783286,10.23,03f82,478351.93,26.123f82,47845,0,0.003.58,52.413f82,47857,0,03f82,4786032.99,13.513,0,0.3f82,478700,0,3f82,47873.88,0.72,-3f82,47882,0,0.003f82,4788517.04,53.43f82,478950,0,0.03f82,4789816,2000/1/0 5:19:51,-11.92,9.17,1.53,74310,26222.91,222.5,3867.5,860,0.14,1.57,8.83,0.19,-0.11,-0.03,28.78,-2.78,-40.24,-23.42,0.36,-1.12,9.38,0.18,0.11,-0.01,0,0,0,186.81
